キャンペーンのパフォーマンス
2026年3月1日 - 2026年6月14日
キャンペーン,キャンペーンの状態,キャンペーン タイプ,日,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,最上部インプレッションの割合,上部インプレッションの割合,コンバージョン,ビュースルー コンバージョン,コンバージョン単価,コンバージョン率,すべてのコンバージョン,すべてのコンバージョン率,費用 / すべてのコンバージョン
［不動産］リースバック｜強化,一時停止,検索,2026-04-28,78,"1,588",4.91%,JPY,1065,83076,9.73%,78.47%,3.00,0,27692,3.85%,3.00,3.85%,27692
［不動産］リースバック｜強化,一時停止,検索,2026-05-11,77,"1,726",4.46%,JPY,628,48394,12.82%,73.04%,1.00,0,48394,1.30%,4.00,5.19%,12098
［不動産］リースバック｜強化,一時停止,検索,2026-03-11,74,"1,372",5.39%,JPY,1476,109208,10.96%,77.67%,1.00,0,109208,1.35%,2.00,2.70%,54604
［不動産］リースバック｜強化,一時停止,検索,2026-05-12,73,"1,054",6.93%,JPY,621,45318,9.66%,72.36%,1.00,0,45318,1.37%,1.00,1.37%,45318
［不動産］リースバック｜強化,一時停止,検索,2026-03-13,69,"1,901",3.63%,JPY,1334,92079,11.10%,78.62%,2.00,0,46040,2.90%,3.00,4.35%,30693
［不動産］リースバック｜強化,一時停止,検索,2026-04-14,68,"1,704",3.99%,JPY,1546,105145,15.77%,81.36%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-16,66,"1,545",4.27%,JPY,2230,147201,14.09%,75.89%,0.00,0,0,0.00%,2.00,3.03%,73601
［不動産］リースバック｜強化,一時停止,検索,2026-03-12,65,"2,079",3.13%,JPY,1591,103391,11.93%,75.75%,3.00,0,34464,4.62%,5.00,7.69%,20678
［不動産］リースバック｜強化,一時停止,検索,2026-04-02,64,819,7.81%,JPY,1804,115480,17.30%,84.88%,2.00,0,57740,3.13%,3.00,4.69%,38493
［不動産］リースバック｜強化,一時停止,検索,2026-03-14,62,"1,465",4.23%,JPY,2271,140822,9.94%,79.23%,3.50,0,40235,5.65%,4.50,7.26%,31294
［不動産］リースバック｜強化,一時停止,検索,2026-03-15,62,"1,911",3.24%,JPY,2063,127924,12.20%,76.45%,1.50,0,85283,2.42%,1.50,2.42%,85283
［不動産］リースバック｜強化,一時停止,検索,2026-05-28,62,828,7.49%,JPY,1436,89053,18.07%,78.49%,6.00,0,14842,9.68%,6.00,9.68%,14842
［不動産］リースバック｜強化,一時停止,検索,2026-05-02,59,"1,141",5.17%,JPY,1499,88441,13.95%,82.56%,2.00,0,44221,3.39%,2.00,3.39%,44221
［不動産］リースバック｜強化,一時停止,検索,2026-03-19,56,"1,243",4.51%,JPY,1814,101592,12.14%,76.83%,3.00,0,33864,5.36%,3.00,5.36%,33864
［不動産］リースバック｜強化,一時停止,検索,2026-04-29,55,"1,288",4.27%,JPY,1314,72262,10.33%,83.43%,4.00,0,18065,7.27%,4.00,7.27%,18065
［不動産］リースバック｜強化,一時停止,検索,2026-04-05,54,660,8.18%,JPY,1025,55344,13.90%,82.96%,1.00,0,55344,1.85%,1.00,1.85%,55344
［不動産］リースバック｜強化,一時停止,検索,2026-04-06,53,874,6.06%,JPY,1573,83375,13.75%,83.51%,2.00,0,41688,3.77%,2.00,3.77%,41688
［不動産］リースバック｜強化,一時停止,検索,2026-06-03,53,796,6.66%,JPY,571,30285,13.88%,74.02%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-06-05,53,902,5.88%,JPY,456,24170,17.25%,78.98%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-26,50,773,6.47%,JPY,1258,62909,12.85%,76.94%,1.00,0,62909,2.00%,2.00,4.00%,31454
［不動産］リースバック｜強化,一時停止,検索,2026-05-01,50,962,5.20%,JPY,1576,78821,12.36%,82.61%,3.00,0,26274,6.00%,4.00,8.00%,19705
［不動産］リースバック｜強化,一時停止,検索,2026-06-06,50,576,8.68%,JPY,986,49309,20.95%,78.26%,4.00,0,12327,8.00%,4.00,8.00%,12327
［不動産］リースバック｜強化,一時停止,検索,2026-05-15,49,"1,399",3.50%,JPY,1375,67353,12.94%,69.92%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-16,49,886,5.53%,JPY,963,47201,13.22%,82.45%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-04-07,48,775,6.19%,JPY,1366,65587,14.84%,83.15%,1.00,0,65587,2.08%,1.00,2.08%,65587
［不動産］リースバック｜強化,一時停止,検索,2026-05-05,48,"1,057",4.54%,JPY,1762,84593,9.51%,87.32%,2.00,0,42297,4.17%,3.00,6.25%,28198
［不動産］リースバック｜強化,一時停止,検索,2026-04-01,47,808,5.82%,JPY,1181,55490,14.99%,84.64%,1.00,0,55490,2.13%,1.00,2.13%,55490
［不動産］リースバック｜強化,一時停止,検索,2026-04-04,47,657,7.15%,JPY,2348,110353,16.59%,82.46%,2.00,0,55177,4.26%,2.00,4.26%,55177
［不動産］リースバック｜強化,一時停止,検索,2026-03-31,46,523,8.80%,JPY,2522,116026,15.25%,86.16%,2.00,0,58013,4.35%,2.00,4.35%,58013
［不動産］リースバック｜強化,一時停止,検索,2026-06-02,46,765,6.01%,JPY,1335,61400,18.29%,81.71%,0.00,0,0,0.00%,3.00,6.52%,20467
［不動産］リースバック｜強化,一時停止,検索,2026-05-03,45,752,5.98%,JPY,1744,78477,13.69%,82.15%,1.00,0,78477,2.22%,2.00,4.45%,39195
［不動産］リースバック｜強化,一時停止,検索,2026-03-09,43,648,6.64%,JPY,1420,61044,17.06%,81.54%,1.00,0,61044,2.33%,1.00,2.33%,61044
［不動産］リースバック｜強化,一時停止,検索,2026-03-23,43,524,8.21%,JPY,1736,74628,13.83%,87.77%,2.00,0,37314,4.65%,3.00,6.98%,24876
［不動産］リースバック｜強化,一時停止,検索,2026-04-17,43,770,5.58%,JPY,385,16572,7.55%,80.22%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-27,42,785,5.35%,JPY,2906,122044,13.04%,78.64%,1.00,0,122044,2.38%,1.00,2.38%,122044
［不動産］リースバック｜強化,一時停止,検索,2026-04-03,42,708,5.93%,JPY,2421,101699,12.16%,86.19%,3.00,0,33900,7.14%,4.00,9.52%,25425
［不動産］リースバック｜強化,一時停止,検索,2026-06-07,40,638,6.27%,JPY,990,39597,17.83%,78.34%,1.00,0,39597,2.50%,1.00,2.50%,39597
［不動産］リースバック｜強化,一時停止,検索,2026-05-18,38,909,4.18%,JPY,866,32899,11.90%,80.55%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-27,38,447,8.50%,JPY,2296,87257,15.75%,79.01%,3.00,0,29086,7.89%,5.00,13.15%,17459
［不動産］リースバック｜強化,一時停止,検索,2026-04-08,37,606,6.11%,JPY,1815,67154,10.49%,82.05%,2.00,0,33577,5.41%,2.00,5.41%,33577
［不動産］リースバック｜強化,一時停止,検索,2026-05-26,36,601,5.99%,JPY,2365,85141,24.61%,84.82%,3.00,0,28380,8.33%,3.00,8.33%,28380
［不動産］リースバック｜強化,一時停止,検索,2026-03-10,35,623,5.62%,JPY,1047,36647,11.64%,80.76%,1.00,0,36647,2.86%,1.00,2.86%,36647
［不動産］リースバック｜強化,一時停止,検索,2026-03-24,34,522,6.51%,JPY,2402,81659,13.33%,81.07%,1.00,0,81659,2.94%,3.00,8.82%,27220
［不動産］リースバック｜強化,一時停止,検索,2026-04-30,33,"1,197",2.76%,JPY,1846,60930,11.11%,80.51%,1.00,0,60930,3.03%,1.00,3.03%,60930
［不動産］リースバック｜強化,一時停止,検索,2026-03-25,32,606,5.28%,JPY,1735,55506,10.17%,75.54%,1.00,0,55506,3.13%,2.00,6.25%,27753
［不動産］リースバック｜強化,一時停止,検索,2026-04-27,32,718,4.46%,JPY,2334,74700,15.66%,80.22%,1.00,0,74700,3.13%,1.00,3.13%,74700
［不動産］リースバック｜強化,一時停止,検索,2026-06-04,31,783,3.96%,JPY,1001,31033,8.84%,76.53%,0.00,0,0,0.00%,1.00,3.23%,31033
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-06,27,551,4.90%,JPY,1133,30591,11.39%,80.78%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-14,25,544,4.60%,JPY,1970,49239,11.58%,69.50%,1.00,0,49239,4.00%,1.00,4.00%,49239
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-01,23,184,12.50%,JPY,2258,51938,25.00%,87.50%,0.00,0,0,0.00%,0.00,0.00%,0
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-02,22,205,10.73%,JPY,1845,40583,27.97%,87.29%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-17,22,567,3.88%,JPY,1677,36901,16.60%,81.70%,1.00,0,36901,4.55%,1.00,4.55%,36901
［不動産］リースバック｜強化,一時停止,検索,2026-05-19,17,545,3.12%,JPY,1889,32109,10.15%,79.70%,1.00,0,32109,5.88%,1.00,5.88%,32109
［不動産］リースバック｜強化,一時停止,検索,2026-06-08,13,233,5.58%,JPY,697,9055,20.83%,88.54%,1.00,0,9055,7.69%,1.00,7.69%,9055
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-03,12,165,7.27%,JPY,1785,21425,23.42%,87.39%,0.00,0,0,0.00%,1.00,8.33%,21425
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-07,12,510,2.35%,JPY,1477,17727,15.33%,82.12%,1.00,0,17727,8.33%,1.00,8.33%,17727
［不動産］リースバック｜強化,一時停止,検索,2026-05-20,12,235,5.11%,JPY,1529,18349,4.24%,70.34%,2.00,0,9174,16.67%,2.00,16.67%,9174
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-05,11,308,3.57%,JPY,910,10007,6.08%,77.03%,0.00,0,0,0.00%,0.00,0.00%,0
NEW［不動産］リースバック｜2026,一時停止,検索,2026-03-04,9,172,5.23%,JPY,2280,20521,10.10%,81.82%,0.00,0,0,0.00%,1.00,11.11%,20521
［不動産］リースバック｜強化,一時停止,検索,2026-03-28,2,17,11.76%,JPY,1408,2816,21.43%,71.43%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-08,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-22,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-03-30,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-04-21,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-04-22,0,3,0.00%,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-04-25,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-25,0,0,0,JPY,0,0,0,0,0.00,0,0,0,0.00,0,0
